item_ID,item_type,contains
152,0,"[3,14]"
153,1,"[4,11,6]"
154,1,"[3,16,6]"
155,0,"[2,13]"
156,1,"[2,11,5]"
157,1,"[2,6,12]"
158,2,"[0,16,16,7]"
159,0,"[3,10]"
160,0,"[0,11]"
161,2,"[4,13,6,16]"
162,2,"[2,10,14,6]"
163,0,"[4,14]"
164,0,"[3,15]"
165,0,"[1,7]"
166,2,"[3,9,12,9]"
167,1,"[3,5,15]"
168,0,"[0,16]"
169,2,"[0,15,5,5]"
170,2,"[2,8,16,8]"
171,1,"[2,6,10]"
172,1,"[2,10,9]"
173,0,"[4,11]"
174,2,"[2,5,9,15]"
175,0,"[0,15]"
176,1,"[4,11,9]"
177,0,"[1,5]"
178,0,"[4,14]"
179,0,"[4,13]"
180,3,[18]
181,2,"[0,11,13,10]"
182,0,"[2,15]"
183,2,"[3,13,10,10]"
184,0,"[4,7]"
185,1,"[0,13,15]"
186,0,"[0,8]"
187,2,"[4,12,16,7]"
188,1,"[0,7,15]"
189,2,"[2,10,8,6]"
190,1,"[3,5,16]"
191,1,"[4,7,10]"
192,0,"[1,12]"
193,2,"[0,14,6,9]"
194,1,"[4,6,14]"
195,1,"[1,7,15]"
196,2,"[4,7,9,14]"
197,0,"[4,7]"
198,1,"[1,9,14]"
199,2,"[2,10,5,7]"
200,2,"[4,5,13,10]"
201,1,"[3,16,8]"
202,1,"[3,16,15]"
203,0,"[2,5]"
204,2,"[1,10,7,11]"
205,2,"[3,10,10,6]"
206,0,"[3,11]"
207,1,"[3,7,16]"
208,0,"[0,7]"
209,2,"[4,6,13,6]"
210,0,"[4,12]"
211,2,"[3,6,12,5]"
212,1,"[4,14,11]"
213,0,"[1,14]"
214,1,"[1,11,11]"
215,3,[18]
216,1,"[4,6,8]"
217,1,"[4,8,10]"
218,1,"[4,8,5]"
219,1,"[2,10,5]"
220,1,"[2,10,13]"
221,0,"[4,6]"
222,1,"[0,11,12]"
223,1,"[2,7,6]"
224,0,"[0,13]"
225,0,"[1,10]"
226,2,"[1,8,6,12]"
227,0,"[1,6]"
228,1,"[1,7,15]"
229,3,[17]
230,1,"[1,8,14]"
231,0,"[0,5]"
232,0,"[3,7]"
233,2,"[1,8,7,11]"
234,0,"[3,10]"
235,1,"[0,12,10]"
236,2,"[1,6,15,7]"
237,3,[18]
238,0,"[3,14]"
239,0,"[0,13]"
240,0,"[4,6]"
241,0,"[0,7]"
242,1,"[4,12,11]"
243,0,"[3,12]"
244,1,"[2,5,16]"
245,0,"[2,8]"
246,2,"[2,15,10,9]"
247,0,"[1,15]"
248,0,"[4,13]"
249,0,"[0,11]"
250,0,"[1,13]"
251,0,"[4,14]"
252,1,"[3,7,14]"
253,0,"[0,11]"
254,0,"[1,11]"
255,0,"[0,14]"
256,1,"[1,6,7]"
257,0,"[4,7]"
258,0,"[2,9]"
259,2,"[0,8,16,16]"
260,1,"[1,13,12]"
261,1,"[4,15,14]"
262,1,"[0,9,12]"
263,2,"[3,9,16,14]"
264,0,"[0,11]"
265,0,"[4,7]"
266,2,"[1,13,10,9]"
267,1,"[4,16,9]"
268,0,"[4,16]"
269,1,"[1,7,9]"
270,0,"[1,12]"
271,1,"[2,14,5]"
272,0,"[3,8]"
273,2,"[2,9,11,9]"
274,1,"[4,16,11]"
275,0,"[1,15]"
276,0,"[1,5]"
277,1,"[2,10,14]"
278,1,"[2,13,16]"
279,0,"[2,11]"
280,3,[19]
281,2,"[1,11,7,6]"
282,1,"[4,9,13]"
283,1,"[4,16,12]"
284,1,"[1,10,8]"
285,1,"[3,14,16]"
286,0,"[4,15]"
287,1,"[1,11,5]"
288,0,"[4,13]"
289,0,"[4,9]"
290,2,"[2,7,11,9]"
291,2,"[0,14,8,13]"
292,1,"[4,10,11]"
293,3,[19]
294,0,"[0,16]"
295,1,"[4,15,5]"
296,2,"[3,7,6,8]"
297,1,"[4,16,10]"
298,0,"[1,13]"
299,1,"[3,15,7]"
300,2,"[0,13,15,11]"
301,0,"[2,13]"
302,0,"[2,16]"
303,0,"[4,10]"
304,0,"[0,14]"
305,3,[19]
306,1,"[3,13,15]"
307,2,"[2,6,13,10]"
308,2,"[1,11,12,15]"
309,0,"[4,6]"
310,2,"[3,5,8,16]"
311,2,"[0,12,7,8]"
312,2,"[2,11,11,14]"
313,2,"[3,14,6,11]"
314,1,"[3,7,10]"
315,0,"[3,11]"
316,1,"[3,14,16]"
317,2,"[4,6,15,16]"
318,0,"[3,16]"
319,1,"[2,7,8]"
320,1,"[2,15,8]"
321,0,"[4,13]"
322,0,"[0,11]"
323,2,"[4,16,7,10]"
324,1,"[2,15,10]"
325,2,"[3,6,9,11]"
326,0,"[2,7]"
327,0,"[0,9]"
328,1,"[1,13,9]"
329,1,"[3,7,8]"
330,1,"[2,9,15]"
331,2,"[4,15,13,15]"
332,0,"[1,14]"
333,0,"[4,13]"
334,3,[19]
335,0,"[0,14]"
336,0,"[0,16]"
337,0,"[4,16]"
338,1,"[2,15,14]"
339,2,"[3,9,15,16]"
340,2,"[2,7,14,9]"
341,0,"[3,9]"
342,1,"[3,8,13]"
343,0,"[0,5]"
344,0,"[0,10]"
345,1,"[4,10,15]"
346,1,"[3,10,7]"
347,1,"[1,12,6]"
348,0,"[4,13]"
349,0,"[2,8]"
350,2,"[0,8,15,13]"
351,0,"[3,7]"
352,1,"[4,13,10]"
353,2,"[3,15,8,8]"
354,0,"[2,5]"
355,0,"[1,15]"
356,2,"[1,9,11,14]"
357,3,[18]
358,2,"[4,16,8,9]"
359,0,"[4,11]"
360,1,"[0,16,11]"
361,1,"[0,8,10]"
362,0,"[3,7]"
363,1,"[3,11,11]"
364,2,"[3,11,13,15]"
365,3,[18]
366,0,"[3,5]"
367,2,"[0,11,12,9]"
368,3,[19]
369,2,"[1,11,9,13]"
370,2,"[1,5,11,10]"
371,0,"[0,9]"
372,2,"[2,9,12,15]"
373,0,"[0,8]"
374,1,"[0,8,15]"
375,0,"[1,14]"
376,2,"[0,11,14,15]"
377,1,"[3,5,5]"
378,1,"[2,11,8]"
379,1,"[1,15,16]"
380,1,"[2,16,15]"
381,0,"[0,11]"
382,0,"[0,15]"
383,0,"[0,13]"
384,0,"[2,13]"
385,3,[17]
386,1,"[4,10,13]"
387,2,"[1,5,6,5]"
388,1,"[3,12,10]"
389,0,"[2,7]"
390,1,"[1,5,11]"
391,1,"[1,9,11]"
392,0,"[1,7]"
393,1,"[0,13,14]"
394,1,"[3,9,8]"
395,1,"[2,9,7]"
396,0,"[1,13]"
397,0,"[4,6]"
398,0,"[0,10]"
399,1,"[3,8,8]"
400,0,"[3,10]"
401,2,"[0,14,7,5]"
402,1,"[4,12,15]"
403,0,"[3,16]"
404,1,"[2,9,12]"
405,0,"[1,14]"
406,0,"[0,14]"
407,0,"[3,12]"
408,2,"[4,15,14,9]"
409,0,"[3,14]"
410,3,[17]
411,0,"[4,8]"
412,1,"[4,14,9]"
413,0,"[0,9]"
414,0,"[0,10]"
415,2,"[2,12,9,11]"
416,0,"[1,16]"
417,2,"[4,14,14,15]"
418,2,"[2,11,9,15]"
419,0,"[3,12]"
420,0,"[3,7]"
421,2,"[4,14,15,6]"
422,1,"[3,14,13]"
423,1,"[4,11,6]"
424,0,"[1,8]"
425,1,"[4,12,6]"
426,1,"[0,15,10]"
427,3,[18]
428,0,"[1,14]"
429,2,"[0,14,8,10]"
430,1,"[4,10,14]"
431,1,"[3,6,15]"
432,0,"[2,10]"
433,1,"[4,7,10]"
434,2,"[1,16,14,6]"
435,3,[19]
436,0,"[4,9]"
437,1,"[0,11,6]"
438,1,"[1,8,10]"
439,0,"[4,11]"
440,0,"[0,10]"
441,2,"[4,10,9,14]"
442,0,"[2,6]"
443,0,"[0,15]"
444,0,"[0,15]"
445,2,"[3,8,16,5]"
446,0,"[4,9]"
447,2,"[3,12,13,14]"
448,1,"[4,14,7]"
449,0,"[2,6]"
450,1,"[0,5,14]"
451,2,"[2,12,6,6]"
452,0,"[4,15]"
453,2,"[4,6,15,12]"
454,0,"[0,13]"
455,1,"[4,10,13]"
456,0,"[2,5]"
457,0,"[4,15]"
458,1,"[1,13,11]"
459,0,"[2,11]"
460,2,"[1,14,11,5]"
461,1,"[4,11,14]"
462,1,"[2,6,9]"
463,1,"[4,5,6]"
464,1,"[2,8,14]"
465,2,"[1,11,13,12]"
466,1,"[1,10,10]"
467,0,"[3,13]"
468,0,"[4,13]"
469,0,"[4,9]"
470,0,"[0,9]"
471,0,"[0,7]"
472,1,"[4,12,15]"
473,1,"[4,5,7]"
474,0,"[3,8]"
475,2,"[0,9,12,13]"
476,0,"[0,11]"
477,1,"[1,9,7]"
478,2,"[4,9,13,13]"
479,1,"[1,14,8]"
480,2,"[1,6,15,8]"
481,1,"[0,5,12]"
482,1,"[3,13,10]"
483,1,"[4,8,14]"
484,1,"[2,5,10]"
485,0,"[3,15]"
486,1,"[4,7,13]"
487,0,"[4,6]"
488,0,"[1,14]"
489,1,"[3,8,13]"
490,0,"[4,10]"
491,1,"[0,15,10]"
492,1,"[0,11,5]"
493,1,"[2,10,7]"
494,0,"[3,11]"
495,1,"[4,13,9]"
496,1,"[4,13,12]"
497,0,"[2,16]"
498,0,"[0,15]"
499,1,"[4,10,10]"
500,2,"[1,6,12,7]"
501,3,[19]
502,2,"[0,8,13,8]"
503,1,"[2,8,10]"
504,2,"[1,8,14,7]"
505,2,"[2,16,5,14]"
506,1,"[2,8,9]"
507,3,[19]
508,3,[17]
509,0,"[4,14]"
510,2,"[3,6,13,6]"
511,1,"[0,7,16]"
512,2,"[4,16,11,15]"
513,1,"[0,9,12]"
514,1,"[0,8,11]"
515,1,"[4,16,7]"
516,2,"[3,9,12,10]"
517,2,"[0,13,6,11]"
518,3,[19]
519,1,"[2,12,10]"
520,2,"[3,15,9,6]"
521,0,"[1,5]"
522,0,"[4,13]"
523,2,"[2,8,8,5]"
524,0,"[1,8]"
525,1,"[0,7,10]"
526,0,"[4,10]"
527,1,"[1,6,9]"
528,0,"[4,10]"
529,2,"[3,5,10,9]"
530,1,"[0,10,15]"
531,3,[18]
532,1,"[4,8,16]"
533,1,"[4,6,16]"
534,2,"[2,5,9,12]"
535,2,"[0,7,7,15]"
536,1,"[4,15,16]"
537,0,"[2,14]"
538,1,"[2,6,12]"
539,1,"[2,12,5]"
540,1,"[2,8,11]"
541,0,"[3,13]"
542,3,[17]
543,0,"[4,15]"
544,0,"[2,10]"
545,2,"[4,6,5,5]"
546,0,"[1,5]"
547,0,"[0,12]"
548,2,"[0,7,8,5]"
549,1,"[0,13,14]"
550,2,"[3,9,8,8]"
551,0,"[0,6]"
552,0,"[1,13]"
553,2,"[3,8,6,10]"
554,1,"[1,6,13]"
555,0,"[1,7]"
556,0,"[0,5]"
557,0,"[2,12]"
558,0,"[3,13]"
559,1,"[0,10,6]"
560,2,"[0,16,7,13]"
561,0,"[0,16]"
562,1,"[3,11,10]"
563,0,"[2,12]"
564,1,"[0,7,14]"
565,2,"[1,13,11,11]"
566,1,"[1,13,14]"
567,2,"[3,13,11,6]"
568,0,"[4,8]"
569,2,"[4,12,9,8]"
570,0,"[1,16]"
571,0,"[2,10]"
572,0,"[2,7]"
573,1,"[0,14,6]"
574,1,"[1,9,10]"
575,1,"[3,7,8]"
576,0,"[4,13]"
577,0,"[2,14]"
578,2,"[3,16,7,8]"
579,2,"[3,6,16,8]"
580,0,"[0,13]"
581,3,[18]
582,0,"[4,8]"
583,1,"[0,15,13]"
584,1,"[1,14,7]"
585,0,"[0,8]"
586,0,"[0,11]"
587,0,"[0,14]"
588,0,"[4,7]"
589,1,"[4,12,14]"
590,2,"[4,9,14,14]"
591,0,"[0,6]"
592,2,"[1,13,13,7]"
593,2,"[1,16,9,11]"
594,0,"[0,12]"
595,1,"[4,6,5]"
596,2,"[2,8,9,8]"
597,1,"[1,9,15]"
598,0,"[3,14]"
599,1,"[0,14,13]"
600,2,"[4,16,15,15]"
601,0,"[0,11]"
602,1,"[4,14,15]"
603,1,"[3,15,9]"
604,2,"[0,12,5,6]"
605,0,"[3,13]"
606,1,"[0,13,13]"
607,0,"[1,9]"
608,1,"[4,5,10]"
609,0,"[4,7]"
610,0,"[4,5]"
611,2,"[4,11,16,5]"
612,0,"[1,15]"
613,1,"[3,14,11]"
614,1,"[4,16,5]"
615,0,"[1,14]"
616,0,"[4,12]"
617,2,"[3,15,11,13]"
618,2,"[3,11,9,12]"
619,1,"[4,8,11]"
620,2,"[0,13,5,6]"
621,1,"[4,10,8]"
622,3,[19]
623,2,"[3,6,10,14]"
624,1,"[0,15,8]"
625,0,"[4,15]"
626,0,"[0,15]"
627,1,"[3,14,12]"
628,1,"[2,16,9]"
629,3,[18]
630,1,"[3,12,7]"
631,0,"[1,6]"
632,0,"[0,9]"
633,2,"[2,8,16,16]"
634,2,"[2,9,13,15]"
635,1,"[1,9,9]"
636,0,"[4,7]"
637,0,"[0,15]"
638,0,"[4,11]"
639,0,"[2,8]"
640,3,[17]
641,1,"[2,14,8]"
642,2,"[1,15,14,15]"
643,2,"[2,6,11,15]"
644,1,"[1,9,6]"
645,2,"[1,16,13,9]"
646,0,"[1,9]"
647,2,"[1,15,10,9]"
648,2,"[4,7,14,9]"
649,2,"[3,15,5,10]"
650,3,[17]
651,0,"[3,9]"
652,0,"[2,8]"
653,0,"[4,14]"
654,2,"[1,8,9,16]"
655,0,"[4,12]"
656,0,"[1,14]"
657,2,"[2,9,9,12]"
658,2,"[1,13,7,7]"
659,2,"[1,12,5,7]"
660,1,"[0,8,16]"
661,3,[19]
662,1,"[2,9,16]"
663,1,"[0,16,16]"
664,0,"[2,7]"
665,1,"[3,11,16]"
666,2,"[3,13,15,5]"
667,3,[19]
668,1,"[1,13,11]"
669,2,"[3,10,11,16]"
670,1,"[2,13,6]"
671,3,[17]
672,0,"[1,6]"
673,2,"[4,15,7,14]"
674,2,"[0,15,12,6]"
675,2,"[4,5,10,10]"
676,0,"[0,8]"
677,2,"[4,6,12,10]"
678,1,"[4,8,6]"
679,0,"[3,8]"
680,0,"[4,7]"
681,0,"[4,13]"
682,1,"[3,5,11]"
683,0,"[0,14]"
684,0,"[1,9]"
685,0,"[0,12]"
686,0,"[4,8]"
687,1,"[3,10,8]"
688,1,"[4,14,16]"
689,0,"[3,6]"
690,0,"[1,13]"
691,1,"[3,8,16]"
692,0,"[2,11]"
693,0,"[1,8]"
694,1,"[0,7,10]"
695,0,"[1,8]"
696,0,"[2,8]"
697,0,"[3,10]"
698,3,[17]
699,1,"[0,16,16]"
700,0,"[2,8]"
701,1,"[0,16,13]"
702,0,"[0,15]"
703,1,"[3,13,14]"
704,2,"[1,15,5,10]"
705,3,[18]
706,2,"[0,13,11,7]"
707,1,"[0,6,10]"
708,2,"[1,8,14,10]"
709,2,"[2,14,11,12]"
710,1,"[0,13,6]"
711,2,"[3,15,15,6]"
712,0,"[3,11]"
713,1,"[0,6,10]"
714,1,"[1,15,5]"
715,1,"[1,12,6]"
716,1,"[0,11,6]"
717,2,"[2,14,12,6]"
718,0,"[4,5]"
719,1,"[2,14,16]"
720,0,"[0,12]"
721,0,"[1,8]"
722,1,"[1,15,9]"
723,1,"[0,11,10]"
724,0,"[4,13]"
725,3,[18]
726,1,"[3,12,12]"
727,1,"[0,11,15]"
728,0,"[4,9]"
729,3,[19]
730,1,"[3,8,6]"
731,0,"[2,14]"
732,2,"[0,11,15,15]"
733,1,"[3,5,11]"
734,1,"[1,16,5]"
735,0,"[2,12]"
736,0,"[2,15]"
737,1,"[0,5,12]"
738,0,"[0,14]"
739,0,"[3,6]"
740,0,"[4,8]"
741,0,"[3,10]"
742,1,"[0,13,16]"
743,2,"[0,5,9,14]"
744,1,"[2,14,12]"
745,2,"[2,9,13,11]"
746,1,"[2,14,9]"
747,1,"[0,8,11]"
748,1,"[0,9,10]"
749,1,"[2,15,12]"
750,0,"[3,14]"
751,0,"[2,14]"
752,0,"[4,6]"
753,0,"[4,5]"
754,1,"[1,12,7]"
755,3,[19]
756,3,[19]
757,0,"[2,11]"
758,0,"[0,13]"
759,0,"[1,5]"
760,1,"[3,9,12]"
761,0,"[1,15]"
762,2,"[3,10,8,7]"
763,1,"[4,8,11]"
764,1,"[1,5,8]"
765,0,"[3,13]"
766,0,"[0,13]"
767,0,"[2,10]"
768,2,"[0,12,14,5]"
769,1,"[1,10,15]"
770,0,"[1,9]"
771,0,"[1,7]"
772,1,"[0,10,15]"
773,2,"[0,10,15,11]"
774,0,"[2,13]"
775,0,"[0,11]"
776,0,"[4,12]"
777,0,"[3,5]"
778,1,"[3,10,12]"
779,2,"[1,8,8,9]"
780,0,"[1,7]"
781,1,"[3,16,11]"
782,2,"[3,16,5,6]"
783,2,"[0,11,12,11]"
784,1,"[0,8,9]"
785,2,"[3,11,5,16]"
786,1,"[3,16,10]"
787,2,"[2,9,12,16]"
788,0,"[4,9]"
789,1,"[0,7,6]"
790,1,"[1,5,7]"
791,0,"[2,8]"
792,0,"[1,12]"
793,2,"[0,10,14,5]"
794,1,"[0,11,16]"
795,0,"[2,7]"
796,2,"[3,9,6,9]"
797,2,"[2,6,9,8]"
798,0,"[2,11]"
799,1,"[4,11,12]"
800,1,"[4,11,8]"
801,2,"[3,11,14,5]"
802,0,"[2,8]"
803,0,"[4,12]"
804,2,"[0,12,12,13]"
805,1,"[0,15,7]"
806,1,"[4,7,7]"
807,2,"[0,14,15,11]"
808,0,"[0,7]"
809,0,"[4,13]"
810,3,[19]
811,0,"[1,10]"
812,1,"[1,11,13]"
813,2,"[2,14,11,8]"
814,0,"[2,6]"
815,1,"[2,7,5]"
816,3,[18]
817,3,[18]
818,2,"[4,10,10,8]"
819,1,"[4,13,5]"
820,0,"[3,8]"
821,2,"[2,7,13,6]"
822,2,"[1,13,12,10]"
823,2,"[2,5,11,15]"
824,1,"[3,13,11]"
825,1,"[0,6,5]"
826,2,"[3,11,10,9]"
827,1,"[1,16,10]"
828,2,"[1,9,12,13]"
829,3,[18]
830,0,"[0,15]"
831,0,"[0,16]"
832,1,"[4,12,10]"
833,1,"[3,5,11]"
834,2,"[0,11,16,15]"
835,1,"[1,6,16]"
836,1,"[1,7,9]"
837,0,"[4,14]"
838,1,"[3,13,10]"
839,1,"[1,16,5]"
840,1,"[2,13,9]"
841,1,"[4,11,10]"
842,2,"[4,5,7,12]"
843,2,"[1,6,11,14]"
844,2,"[1,8,9,15]"
845,0,"[0,9]"
846,2,"[4,14,5,15]"
847,0,"[2,5]"
848,0,"[0,10]"
849,0,"[0,11]"
850,0,"[3,12]"
851,1,"[2,5,8]"
852,2,"[1,6,5,16]"
853,0,"[2,10]"
854,2,"[0,8,7,8]"
855,2,"[4,9,12,7]"
856,2,"[3,6,15,16]"
857,0,"[2,10]"
858,2,"[3,12,9,10]"
859,2,"[3,7,8,16]"
860,3,[18]
861,1,"[3,13,15]"
862,2,"[2,8,8,10]"
863,1,"[2,14,10]"
864,1,"[0,16,14]"
865,1,"[3,9,5]"
866,1,"[3,7,9]"
867,0,"[4,15]"
868,0,"[0,7]"
869,1,"[0,16,16]"
870,0,"[0,12]"
871,3,[18]
872,3,[18]
873,1,"[3,10,6]"
874,0,"[3,7]"
875,2,"[0,11,5,16]"
876,2,"[4,6,11,10]"
877,0,"[4,6]"
878,2,"[3,5,10,16]"
879,0,"[3,10]"
880,1,"[4,10,6]"
881,3,[17]
882,0,"[4,10]"
883,1,"[2,5,9]"
884,1,"[4,11,16]"
885,1,"[1,12,7]"
886,0,"[0,10]"
887,0,"[3,11]"
888,0,"[3,11]"
889,0,"[0,6]"
890,2,"[1,5,7,15]"
891,0,"[2,16]"
892,2,"[0,5,5,13]"
893,1,"[0,10,13]"
894,0,"[2,8]"
895,1,"[4,6,14]"
896,2,"[4,7,10,5]"
897,2,"[4,9,11,15]"
898,2,"[2,10,5,7]"
899,1,"[1,8,9]"
900,1,"[0,5,9]"
901,0,"[2,5]"
902,2,"[2,7,10,7]"
903,0,"[3,14]"
904,0,"[3,13]"
905,1,"[2,16,14]"
906,0,"[0,15]"
907,1,"[2,10,12]"
908,2,"[4,13,11,6]"
909,0,"[2,13]"
910,1,"[0,6,16]"
911,0,"[3,12]"
912,2,"[1,8,6,12]"
913,0,"[3,8]"
914,3,[17]
915,0,"[2,6]"
916,0,"[0,13]"
917,0,"[2,11]"
918,2,"[3,8,10,7]"
919,2,"[3,13,9,11]"
920,1,"[0,11,5]"
921,3,[17]
922,1,"[0,10,10]"
923,0,"[1,11]"
924,2,"[4,8,15,7]"
925,1,"[0,8,15]"
926,1,"[4,16,15]"
927,2,"[3,7,10,15]"
928,0,"[2,13]"
929,2,"[0,8,12,13]"
930,0,"[4,9]"
931,0,"[3,16]"
932,0,"[1,14]"
933,2,"[1,10,7,7]"
934,1,"[1,11,6]"
935,0,"[0,5]"
936,1,"[4,11,7]"
937,0,"[0,8]"
938,2,"[0,11,9,13]"
939,1,"[2,9,6]"
940,2,"[0,15,6,12]"
941,3,[17]
942,2,"[0,14,5,12]"
943,1,"[3,7,8]"
944,2,"[2,9,8,10]"
945,2,"[3,13,8,15]"
946,2,"[3,15,6,10]"
947,1,"[0,16,12]"
948,0,"[0,11]"
949,1,"[3,15,11]"
950,1,"[1,9,8]"
951,1,"[3,16,6]"
952,0,"[1,14]"
953,2,"[1,9,9,10]"
954,2,"[2,6,15,7]"
955,1,"[3,5,8]"
956,0,"[3,7]"
957,0,"[1,7]"
958,0,"[3,9]"
959,0,"[2,15]"
960,0,"[3,15]"
961,2,"[2,10,7,16]"
962,0,"[2,13]"
963,0,"[4,11]"
964,2,"[2,7,9,9]"
965,1,"[3,14,6]"
966,3,[18]
967,2,"[3,10,10,5]"
968,1,"[1,5,16]"
969,2,"[3,9,6,8]"
970,2,"[0,13,5,12]"
971,0,"[3,6]"
972,1,"[0,13,15]"
973,0,"[4,7]"
974,2,"[2,10,5,14]"
975,0,"[4,12]"
976,1,"[4,15,11]"
977,2,"[2,14,8,8]"
978,3,[17]
979,3,[18]
980,2,"[0,15,11,5]"
981,2,"[4,5,6,5]"
982,0,"[2,15]"
983,0,"[0,12]"
984,1,"[2,7,7]"
985,2,"[3,5,9,6]"
986,0,"[0,10]"
987,0,"[1,13]"
988,2,"[3,11,6,6]"
989,2,"[1,14,10,5]"
990,0,"[0,15]"
991,1,"[2,12,11]"
992,0,"[1,14]"
993,0,"[0,14]"
994,1,"[4,9,11]"
995,1,"[4,12,11]"
996,1,"[0,5,7]"
997,1,"[0,7,14]"
998,0,"[0,10]"
999,1,"[1,7,14]"
1000,0,"[3,15]"
1001,1,"[1,6,15]"
1002,2,"[4,11,11,6]"
1003,0,"[1,15]"
1004,1,"[3,12,15]"
1005,0,"[1,6]"
1006,0,"[0,13]"
1007,1,"[1,9,10]"
1008,1,"[0,12,11]"
1009,1,"[4,7,8]"
1010,2,"[2,9,9,5]"
1011,1,"[3,16,11]"
1012,3,[17]
1013,2,"[1,12,15,14]"
1014,3,[17]
1015,0,"[0,11]"
1016,2,"[3,11,13,11]"
1017,0,"[3,12]"
1018,2,"[3,12,10,14]"
1019,1,"[0,15,14]"
1020,2,"[0,10,10,5]"
1021,2,"[2,11,8,16]"
1022,1,"[3,8,7]"
1023,0,"[4,11]"
1024,0,"[4,12]"
1025,3,[17]
1026,0,"[2,16]"
1027,3,[17]
1028,0,"[0,16]"
1029,1,"[3,5,12]"
1030,0,"[4,11]"
1031,0,"[1,12]"
1032,0,"[0,5]"
1033,0,"[4,7]"
1034,0,"[1,10]"
1035,0,"[1,15]"
1036,1,"[3,11,12]"
1037,1,"[3,12,15]"
1038,1,"[0,14,9]"
1039,2,"[1,9,7,12]"
1040,3,[18]
1041,2,"[1,13,12,14]"
1042,2,"[1,15,9,8]"
